X,Real,Imaginary
14.99588748,-0.002866586,0.004299108
14.99436209,-0.002779973,0.004167684
14.9928367,-0.002796483,0.004181334
14.99131131,-0.002909256,0.00419964
14.98978592,-0.002921542,0.004254875
14.98826053,-0.00284239,0.004305186
14.98673514,-0.002855912,0.004197225
14.98520975,-0.002926039,0.004335689
14.98368436,-0.002833713,0.00422322
14.98215896,-0.002867049,0.004280423
14.98063357,-0.002804149,0.004219566
14.97910818,-0.002900094,0.004242309
14.97758279,-0.002930647,0.004275673
14.9760574,-0.002793986,0.004240607
14.97453201,-0.002786553,0.004263442
14.97300662,-0.002986183,0.004147454
14.97148123,-0.002848927,0.004224219
14.96995584,-0.00296316,0.004237956
14.96843045,-0.002975072,0.004302266
14.96690505,-0.002864852,0.004376732
14.96537966,-0.002828362,0.004300664
14.96385427,-0.002950642,0.004219452
14.96232888,-0.00289826,0.004360842
14.96080349,-0.002881797,0.004332198
14.9592781,-0.002908228,0.004212148
14.95775271,-0.002881776,0.004296263
14.95622732,-0.002791199,0.004359323
14.95470193,-0.00294144,0.004398615
14.95317653,-0.00279894,0.004239276
14.95165114,-0.002832131,0.004285514
14.95012575,-0.00296688,0.004270169
14.94860036,-0.002933011,0.004217166
14.94707497,-0.002799469,0.004341402
14.94554958,-0.002924198,0.004353391
14.94402419,-0.002880794,0.004363613
14.9424988,-0.002847125,0.004263199
14.94097341,-0.002840781,0.004252839
14.93944802,-0.002847332,0.004357562
14.93792262,-0.002904753,0.004329156
14.93639723,-0.002908707,0.004221046
14.93487184,-0.002831986,0.004386397
14.93334645,-0.002796449,0.004388921
14.93182106,-0.002786182,0.004261214
14.93029567,-0.002951332,0.004209874
14.92877028,-0.002842861,0.004343329
14.92724489,-0.002891899,0.004302371
14.9257195,-0.002859223,0.004237399
14.9241941,-0.002837661,0.004331129
14.92266871,-0.002870577,0.004364186
14.92114332,-0.002866454,0.00421495
14.91961793,-0.002872627,0.004256839
14.91809254,-0.002824655,0.004343822
14.91656715,-0.002889314,0.004270294
14.91504176,-0.002914945,0.004255284
14.91351637,-0.002899332,0.004314577
