X,Real,Imaginary
14.99588748,-0.00273315,0.003857793
14.99436209,-0.0025434,0.003883101
14.9928367,-0.002712292,0.003918184
14.99131131,-0.002565061,0.00395642
14.98978592,-0.0026068,0.003968557
14.98826053,-0.002611038,0.003881161
14.98673514,-0.002516148,0.003896823
14.98520975,-0.002572855,0.003891601
14.98368436,-0.002632548,0.00379487
14.98215896,-0.002629362,0.003891926
14.98063357,-0.002611754,0.003946947
14.97910818,-0.00267707,0.003898721
14.97758279,-0.002650772,0.003857525
14.9760574,-0.00269842,0.003936182
14.97453201,-0.002577471,0.003946626
14.97300662,-0.002632074,0.003916598
14.97148123,-0.002611197,0.003975019
14.96995584,-0.002602825,0.003939496
14.96843045,-0.002686884,0.003857806
14.96690505,-0.00257414,0.003993971
14.96537966,-0.002626763,0.003857645
14.96385427,-0.002578783,0.003977665
14.96232888,-0.002657087,0.003890493
14.96080349,-0.002587595,0.003943325
14.9592781,-0.002623851,0.003929673
14.95775271,-0.002693201,0.003995365
14.95622732,-0.002547293,0.003840718
14.95470193,-0.00260234,0.003938774
14.95317653,-0.002640158,0.003993449
14.95165114,-0.00246183,0.003937831
14.95012575,-0.002616726,0.003821034
14.94860036,-0.002758795,0.003904311
14.94707497,-0.002668698,0.003944163
14.94554958,-0.002544369,0.004036467
14.94402419,-0.002564728,0.003875986
14.9424988,-0.002684045,0.003969369
14.94097341,-0.002530047,0.003953138
14.93944802,-0.002658155,0.003939636
14.93792262,-0.002514828,0.003946569
14.93639723,-0.002644679,0.003892817
14.93487184,-0.002659546,0.003864655
14.93334645,-0.002635688,0.004034721
14.93182106,-0.002629372,0.004028101
14.93029567,-0.002462767,0.003926283
14.92877028,-0.00264907,0.00385505
14.92724489,-0.002604019,0.003941768
14.9257195,-0.002664555,0.003885112
14.9241941,-0.002611571,0.003913787
14.92266871,-0.002588303,0.004005799
14.92114332,-0.002580897,0.003860968
14.91961793,-0.002681451,0.003906093
14.91809254,-0.002669734,0.004037615
14.91656715,-0.002591116,0.003956014
14.91504176,-0.002695979,0.003908353
14.91351637,-0.002642089,0.004030666
14.91199098,-0.002561482,0.004057828
14.91046559,-0.002574609,0.00391242
14.90894019,-0.002630537,0.004064892
14.9074148,-0.002564609,0.003922831
14.90588941,-0.00257586,0.00394619
14.90436402,-0.002623597,0.003880345
14.90283863,-0.002650284,0.003876753
14.90131324,-0.002536225,0.004069037
14.89978785,-0.002617737,0.003952294
14.89826246,-0.002635063,0.004041811
14.89673707,-0.0025629,0.003886867
14.89521168,-0.002591827,0.003918818
14.89368628,-0.002593908,0.004024201
14.89216089,-0.002536404,0.003926648
14.8906355,-0.002482729,0.003957705
14.88911011,-0.002595252,0.003889043
14.88758472,-0.002682499,0.003901397
14.88605933,-0.002609651,0.003846878
14.88453394,-0.002632581,0.003887214
14.88300855,-0.002680312,0.004004708
14.88148316,-0.002596813,0.003979836
14.87995776,-0.002627726,0.003894077
14.87843237,-0.002689552,0.003919244
14.87690698,-0.002662514,0.004020546
14.87538159,-0.002576121,0.004021729
14.8738562,-0.002626541,0.003923193
14.87233081,-0.002494701,0.003957595
14.87080542,-0.002675583,0.00390189
14.86928003,-0.002687949,0.003873887
14.86775464,-0.002632304,0.003956373
14.86622925,-0.002593996,0.003951019
14.86470385,-0.002701662,0.003952264
14.86317846,-0.002611238,0.004020048
14.86165307,-0.002682994,0.003909089
14.86012768,-0.002671073,0.004009558
14.85860229,-0.002576777,0.004073014
14.8570769,-0.002613679,0.003938047
14.85555151,-0.002614172,0.003938377
14.85402612,-0.002578433,0.0038983
14.85250073,-0.002638188,0.003995434
14.85097533,-0.002691874,0.003992304
14.84944994,-0.002661753,0.003978665
14.84792455,-0.002532938,0.003904365
14.84639916,-0.002683883,0.003878438
14.84487377,-0.00276047,0.003975653
14.84334838,-0.002655974,0.004087192
14.84182299,-0.002776048,0.004012683
14.8402976,-0.002565742,0.003880888
14.83877221,-0.002681865,0.004039086
14.83724682,-0.00266655,0.004105479
14.83572142,-0.002661168,0.004035555
14.83419603,-0.002650619,0.004121747
14.83267064,-0.002552823,0.003955042
14.83114525,-0.002568548,0.003944109
14.82961986,-0.002610267,0.003987705
14.82809447,-0.002645088,0.004005301
14.82656908,-0.002621096,0.004006885
14.82504369,-0.002664781,0.004023636
14.8235183,-0.002618039,0.004030351
14.82199291,-0.002606963,0.003997863
14.82046751,-0.002632174,0.003959619
14.81894212,-0.002615137,0.003996336
14.81741673,-0.002640741,0.003958065
14.81589134,-0.002725532,0.003998725
14.81436595,-0.002470312,0.00405299
14.81284056,-0.002652303,0.003939934
14.81131517,-0.00272559,0.004065154
14.80978978,-0.002696551,0.004080089
14.80826439,-0.00257437,0.003997115
14.80673899,-0.002623421,0.004002001
14.8052136,-0.002688069,0.0039556
14.80368821,-0.002678831,0.004232136
14.80216282,-0.00257352,0.004021835
14.80063743,-0.002610047,0.003997276
14.79911204,-0.002546332,0.004091695
14.79758665,-0.002585284,0.004022521
14.79606126,-0.002611892,0.004030263
14.79453587,-0.002587565,0.003924283
14.79301048,-0.002615908,0.00405436
