X,Real,Imaginary,Altitude
14.99588748,-0.002747081,0.004254455,61.064912
14.99436209,-0.002693115,0.004139462,61.064912
14.9928367,-0.002761596,0.004166696,61.064912
14.99131131,-0.002716436,0.004302676,61.064912
14.98978592,-0.0027046,0.004126254,61.064912
14.98826053,-0.002794582,0.004210181,61.064912
14.98673514,-0.002656791,0.004154397,61.064912
14.98520975,-0.002739503,0.004122756,61.064912
14.98368436,-0.002805597,0.004167233,61.064912
14.98215896,-0.002829259,0.004211847,61.064912
14.98063357,-0.002797244,0.004275362,61.064912
14.97910818,-0.00269598,0.004273233,61.064912
14.97758279,-0.002715866,0.004200535,61.064912
14.9760574,-0.002757984,0.004198251,61.064912
14.97453201,-0.00270217,0.004230456,61.064912
14.97300662,-0.002757958,0.004112339,61.064912
14.97148123,-0.002765278,0.004141215,61.064912
14.96995584,-0.002794712,0.004329578,61.064912
14.96843045,-0.002637196,0.004188384,61.064912
14.96690505,-0.002779782,0.00407224,61.064912
14.96537966,-0.002796904,0.004146553,61.064912
14.96385427,-0.002845497,0.00416272,61.064912
14.96232888,-0.002790657,0.004232008,61.064912
14.96080349,-0.002823304,0.004218458,61.064912
14.9592781,-0.002862784,0.004287305,61.064912
14.95775271,-0.00277269,0.004292674,61.064912
14.95622732,-0.002733553,0.004213884,61.064912
14.95470193,-0.002638574,0.004268575,61.064912
14.95317653,-0.002721025,0.004142897,61.064912
14.95165114,-0.002853271,0.004202906,61.064912
14.95012575,-0.002678732,0.004176189,61.064912
14.94860036,-0.002839724,0.004109924,61.064912
14.94707497,-0.00288458,0.004215765,61.064912
14.94554958,-0.002798626,0.004234031,61.064912
14.94402419,-0.002811766,0.004275211,61.064912
14.9424988,-0.002867859,0.00433205,61.064912
14.94097341,-0.002734854,0.004291502,61.064912
14.93944802,-0.002763187,0.0042215,61.064912
14.93792262,-0.002715511,0.004270714,61.064912
14.93639723,-0.002724489,0.004201516,61.064912
14.93487184,-0.002757594,0.004249277,61.064912
14.93334645,-0.002750321,0.004267617,61.064912
14.93182106,-0.002740193,0.004238371,61.064912
14.93029567,-0.002741459,0.004139732,61.064912
14.92877028,-0.002688629,0.004214607,61.064912
14.92724489,-0.002872875,0.004247195,61.064912
14.9257195,-0.002784072,0.004161527,61.064912
14.9241941,-0.002835643,0.004234412,61.064912
14.92266871,-0.002828153,0.00432594,61.064912
14.92114332,-0.002808813,0.00436539,61.064912
14.91961793,-0.002692104,0.004160908,61.064912
14.91809254,-0.002714671,0.004256157,61.064912
14.91656715,-0.002789968,0.004154931,61.064912
14.91504176,-0.002842436,0.004277175,61.064912
14.91351637,-0.002781311,0.004309285,61.064912
14.91199098,-0.002657502,0.004230189,61.064912
14.91046559,-0.00282349,0.004224056,61.064912
14.90894019,-0.002651767,0.004242353,61.064912
14.9074148,-0.002766235,0.004130958,61.064912
14.90588941,-0.00286818,0.00417447,61.064912
14.90436402,-0.002800828,0.004374083,61.064912
14.90283863,-0.002780226,0.004186377,61.064912
14.90131324,-0.002767442,0.004197295,61.064912
14.89978785,-0.002762874,0.00413662,61.064912
14.89826246,-0.002877596,0.004335085,61.064912
14.89673707,-0.002776696,0.004274524,61.064912
14.89521168,-0.002893771,0.004255032,61.064912
14.89368628,-0.00274443,0.004249314,61.064912
14.89216089,-0.002820341,0.004240652,61.064912
14.8906355,-0.002712251,0.004212103,61.064912
14.88911011,-0.002861298,0.004280328,61.064912
14.88758472,-0.002857985,0.004278208,61.064912
14.88605933,-0.002793449,0.004343266,61.064912
14.88453394,-0.002737159,0.004264102,61.064912
14.88300855,-0.002791576,0.004153089,61.064912
14.88148316,-0.002795048,0.004313202,61.064912
14.87995776,-0.002824291,0.004245981,61.064912
14.87843237,-0.002852412,0.004349225,61.064912
14.87690698,-0.002732322,0.004202754,61.064912
14.87538159,-0.002797774,0.004312939,61.064912
14.8738562,-0.002851328,0.004207233,61.064912
14.87233081,-0.00285865,0.004379052,61.064912
14.87080542,-0.002877073,0.004279773,61.064912
14.86928003,-0.002683054,0.004432908,61.064912
14.86775464,-0.002792437,0.004301731,61.064912
14.86622925,-0.00287185,0.004283918,61.064912
14.86470385,-0.002719923,0.004372949,61.064912
14.86317846,-0.002709584,0.004280286,61.064912
14.86165307,-0.002731616,0.004239983,61.064912
14.86012768,-0.002855923,0.004271554,61.064912
14.85860229,-0.002706718,0.004392663,61.064912
14.8570769,-0.002787573,0.004314082,61.064912
14.85555151,-0.0027005,0.004374829,61.064912
14.85402612,-0.002750466,0.004247946,61.064912
14.85250073,-0.002802712,0.004206518,61.064912
14.85097533,-0.002798018,0.004339525,61.064912
14.84944994,-0.002709744,0.004348005,61.064912
14.84792455,-0.002706821,0.004292983,61.064912
14.84639916,-0.002704528,0.004281823,61.064912
14.84487377,-0.00280604,0.004204342,61.064912
14.84334838,-0.002871582,0.00429407,61.064912
14.84182299,-0.002802168,0.004330621,61.064912
14.8402976,-0.002650602,0.004356374,61.064912
14.83877221,-0.002761989,0.004355795,61.064912
14.83724682,-0.00268648,0.00419674,61.064912
14.83572142,-0.002765325,0.004282467,61.064912
14.83419603,-0.002675187,0.004244631,61.064912
14.83267064,-0.00276718,0.004233491,61.064912
14.83114525,-0.002766219,0.004212278,61.064912
14.82961986,-0.002741154,0.004259896,61.064912
14.82809447,-0.002797882,0.004116401,61.064912
14.82656908,-0.002861961,0.004314069,61.064912
14.82504369,-0.002839138,0.004289029,61.064912
14.8235183,-0.002855837,0.004388288,61.064912
14.82199291,-0.002782428,0.004230662,61.064912
14.82046751,-0.002686806,0.004275521,61.064912
14.81894212,-0.002810233,0.004302384,61.064912
